순서,기업명(한국어),기업명(일본어),국가,업종,장르,MA접근,딜형태,분류,시총_억엔,매출_억엔,이익률(%),직원수,대표이사,자체IP,주요타이틀,기업특징,장점,단점리스크,주주구조,MA판단근거,소스,수정메모
115.0,angoo inc.,アングー,일본,개발/운영,비서브,N,,accel,,,,62.0,中川裕史,Y,Ark of Charon,"2015년 2월 설립된 도쿄 소재 게임 기획·개발·운영사로, 캡콤 출신 中川裕史가 창업했다. Niantic, SUNSOFT, gumi 등과 협업하며 자체 PC 전략 게임 \",수탁 개발과 자체 타이틀 개발을 균형 있게 병행한다. Niantic 등 글로벌 파트너와의 협력 실적이 있다.,소규모 스튜디오로 자체 IP(Ark of Charon)의 성공 여부가 사업 방향을 좌우한다.,,엑셀레이션 파트너 후보 스튜디오. 수탁 개발 실적 있어 협업 기반 있음. All 플랫폼 개발 역량,short,설립: 2015년
116.0,ARZEST Corporation,アーゼスト,일본,개발/운영,비서브,N,,accel,,,,80.0,石井洋児,Y,Yoshi\,2010년 6월 세가 출신 石井洋児가 요코하마에 설립한 콘솔 게임 전문 개발사다. 닌텐도 \,세가 출신 창업자의 네트워크를 기반으로 닌텐도·세가·스퀘어에닉스 등 최상위 퍼블리셔와 지속적 수탁 관계를 유지한다.,"자본금 3,000만 엔의 중소 규모이며, 대형 퍼블리셔 수탁 의존 구조상 발주 감소 시 수익에 직접 영향을 받는다.",,엑셀레이션 파트너 후보 스튜디오. 수탁 개발 실적 있어 협업 기반 있음. PC/Console 플랫폼 개발 역량,short,설립: 2010년
117.0,R-Force Entertainment Inc.,アールフォース・エンターテインメント,일본,개발/운영,비서브,N,,accel,,,,70.0,横山裕一,Y,330+ contract titles,"1999년 8월 설립된 도쿄 소재 게임 기획·개발·운영 전문사로, 330개 이상의 개발 타이틀 실적을 보유한 노련한 수탁 개발사다. 2023년 2월 도쿄 증시 상장사 테코아 주식회사(テンダ)의 자회사로 편입되었다. BGM 및 3DCG 애니메이션 전문 팀을 보유하고 있다.",25년 이상의 업력과 330+ 타이틀 개발 실적으로 다양한 플랫폼과 장르에 대응 가능하다. 테코아 자회사 편입으로 재무 안정성이 확보됐다.,테코아 자회사 편입으로 독립적 의사결정이 제한될 수 있다. 수탁 개발 구조로 자사 IP가 없어 브랜드 경쟁력이 낮다.,テンダ株式会社 자회사 (2023년 2월),엑셀레이션 파트너 후보 스튜디오. 수탁 개발 실적 있어 협업 기반 있음,short,설립: 1999년
118.0,Ilinx,イリンクス,일본,개발/운영,비서브,N,,accel,,,,37.0,田中宏幸,Y,"Gundam Breaker series, Dragon Ball: The Breakers",2010년 12월 설립. 일본 팔콤·캡콤 출신 田中宏幸가 도쿄 시나가와구에 창업한 콘솔 게임 전문 수탁 개발사다. 반다이남코의 \,반다이남코 등 일류 퍼블리셔와의 액션 게임 수탁 개발 실적이 풍부하다. 팔콤·캡콤 출신 대표의 기술 네트워크가 강점이다.,소규모 스튜디오로 반다이남코 등 특정 클라이언트에 대한 의존도가 높다.,,엑셀레이션 파트너 후보 스튜디오. 수탁 개발 실적 있어 협업 기반 있음. PC/Console 플랫폼 개발 역량,short,설립: 2010년
119.0,Inti Creates,インティ･クリエイツ,일본,개발/운영,비서브,N,,accel,,,,98.0,會津卓也,Y,"Azure Striker Gunvolt series, Blaster Master Zero, Mega Man ZX (Capcom)","1996년 5월 캡콤 출신 멤버들이 지바현 이치카와시에서 설립한 2D 액션 게임 전문 개발사다. 캡콤의 록맨(Mega Man) 시리즈 다수를 개발하고, 자체 IP \","2D 액션·플랫포머 장르 개발 능력이 세계적으로 인정받으며, 캡콤·닌텐도와의 수탁 실적과 자체 IP를 겸비한다.",2D 액션 장르 특화로 타 장르 진출이 제한적이다.,,엑셀레이션 파트너 후보 스튜디오. 수탁 개발 실적 있어 협업 기반 있음. PC/Console 플랫폼 개발 역량,short,설립: 1996년
120.0,indieszero,インディーズゼロ,일본,개발/운영,비서브,N,,accel,,,,54.0,鈴井匡伸,Y,"Theatrhythm Final Fantasy, NES Remix, Theatrhythm Final Bar Line",1997년 4월 도쿄 스기나미구에 설립된 닌텐도·스퀘어에닉스 협력 게임 개발사다. \,닌텐도·스퀘어에닉스 양사와의 장기 신뢰 관계가 강점이다. 리듬 게임·레트로 게임 재해석 분야에서 독보적 실적을 보유한다.,자본금 300만 엔의 소규모 재무 구조가 취약하다. 닌텐도·스퀘어에닉스 등 소수 클라이언트 의존도가 높다.,,엑셀레이션 파트너 후보 스튜디오. 수탁 개발 실적 있어 협업 기반 있음. PC/Console 플랫폼 개발 역량,short,설립: 1997년
121.0,eREAL GAMES,イーリアルゲームズ,일본,개발/운영,비서브,N,,accel,,,,,,Y,미출시 (개발 중),"2025년 창업한 초기 스타트업 게임 개발사로, 30년 이상 통신 시스템 개발 경험을 가진 프로그래머가 설립했다. \",오랜 IT 개발 경험을 가진 창업자의 기술 기반이 있다.,2025년 설립된 극초기 스타트업으로 사업 실적 및 재무 정보가 전무하다.,,엑셀레이션 파트너 후보 스튜디오. PC/Console 플랫폼 개발 역량,short,설립: 2025년
122.0,UNICO INC.,有限会社 ウニコ,일본,개발/운영,비서브,N,,accel,,,,,林圭一,Y,"Shinso Sangokushi (지원), 기타 수탁 타이틀","2006년 1월 도쿄 치요다구에 설립된 소규모 콘솔 게임 수탁 개발 전문 유한회사다. Mistwalker, 반다이남코, 소니 인터랙티브, 스퀘어에닉스를 주요 거래처로 하며 RPG 계열 타이틀 지원 실적을 갖추고 있다. 자본금 300만 엔의 소형 스튜디오다.",Mistwalker(坂口博信 대표)와의 협력 관계를 포함해 복수 일류 퍼블리셔와 수탁 개발 실적을 보유한다.,"유한회사 구조의 극소형 사업자로 자본금 300만 엔, 종업원 수·매출 정보 비공개다.",,엑셀레이션 파트너 후보 스튜디오. 수탁 개발 실적 있어 협업 기반 있음. PC/Console 플랫폼 개발 역량,short,설립: 2006년
123.0,"Cattle Call.inc,",キャトルコール,일본,개발/운영,비서브,N,,accel,,,,37.0,石井誠一,Y,"The Legend of Legacy, The Alliance Alive, Metal Max series","1998년 3월 도쿄 나카노구에 설립된 RPG 전문 게임 개발사로, 데이터 이스트 출신 멤버들이 창업했다. 스퀘어에닉스, FuRyu와 협업해 \","RPG 장르 특화로 독창적 세계관 설계 능력이 있으며, 스퀘어에닉스·FuRyu 등 복수 퍼블리셔와 협력 관계를 보유한다.",37명의 소규모 스튜디오로 동시 다발적 대형 프로젝트 수행이 어렵다.,,엑셀레이션 파트너 후보 스튜디오. 수탁 개발 실적 있어 협업 기반 있음. PC/Console 플랫폼 개발 역량,short,설립: 1998년
124.0,Camelot,キャメロット,일본,개발/운영,비서브,N,,accel,,,,42.0,高橋宏之,Y,"Mario Golf series, Mario Tennis series, Golden Sun series","1994년 4월 도쿄 신주쿠구에 설립. 형제인 高橋宏之·高橋秀五가 공동 운영하며, 닌텐도와의 독점적 협력 관계 아래 마리오 골프·마리오 테니스 시리즈와 황금의 태양(Golden Sun) RPG 시리즈를 개발했다. 자본금 6,000만 엔, 약 42명 규모의 닌텐도 전속 협력 스튜디오다.",닌텐도와의 장기 독점 협력 관계로 높은 수주 안정성을 보유한다.,닌텐도 단일 클라이언트 의존 구조로 발주 변동 리스크가 크다.,,엑셀레이션 파트너 후보 스튜디오. 수탁 개발 실적 있어 협업 기반 있음. PC/Console 플랫폼 개발 역량,short,설립: 1990년
125.0,Qmax Inc.,キューマックス,일본,개발/운영,비서브,N,,accel,,6.0,,65.0,吉武直志,Y,"99 Dragons, Kobito Zukan mobile","2005년 3월 후쿠오카시에 설립된 소셜·스마트폰 게임 개발·운영사다. GREE, Mobage 플랫폼 상에서 \","후쿠오카 거점으로 비용 효율이 높으며, 소셜 게임 플랫폼에서의 장기 운영 실적을 보유한다.",GREE·DeNA 등 구형 소셜 게임 플랫폼에 대한 의존이 높아 시장 변화에 취약할 수 있다.,,엑셀레이션 파트너 후보 스튜디오. 수탁 개발 실적 있어 협업 기반 있음. Mobile 플랫폼 개발 역량,short,설립: 2005년
126.0,Q-GAMES,有限会社 キュー･ゲームス,일본,개발/운영,비서브,N,,accel,,,,39.0,ディラン・カスバート (Dylan Cuthbert),Y,"PixelJunk series, The Tomorrow Children, Star Fox Command",2001년 9월 교토시에 설립된 영국 출신 개발자 Dylan Cuthbert가 이끄는 인디·아트 게임 전문 스튜디오다. \,독창적 아트 게임 IP \,자본금 300만 엔의 소규모 유한회사로 재무 기반이 취약하다.,,엑셀레이션 파트너 후보 스튜디오. PC/Console 플랫폼 개발 역량,short,설립: 2001년
127.0,Clap Hanz Limited,クラップハンズ,일본,개발/운영,비서브,N,,accel,,,,21.0,村守将志,Y,Everybody\,"1998년 소니 인터랙티브 협력사로 후쿠오카에서 설립된 골프 게임 전문 개발사로, 대표적 시리즈 \","골프 게임 장르 최고 전문성을 보유하며 소니, 애플, 메타 등 복수 플랫폼으로 확장 중이다.",21명의 소규모 팀으로 골프 게임 외 장르 다각화가 어렵다.,,엑셀레이션 파트너 후보 스튜디오. PC/Console 플랫폼 개발 역량,short,설립: 1998년
128.0,"Cross Plus Studio, Inc.",クロスプラススタジオ,일본,개발/운영,비서브,N,,accel,,,,25.0,川本恵史,Y,Granblue Fantasy: Relink (support),2018년 9월 오사카시 히가시요도가와구에 설립된 소규모 게임 수탁 개발사다. 사이게임즈의 \,사이게임즈 등 상위 개발사의 대형 타이틀 개발 지원 실적이 있다.,"자본금 100만 엔의 매우 취약한 재무 구조로, 소규모 스타트업 수준이다.",,엑셀레이션 파트너 후보 스튜디오. 수탁 개발 실적 있어 협업 기반 있음. All 플랫폼 개발 역량,short,설립: 2018년
129.0,Good-Feel,グッド･フィール,일본,개발/운영,비서브,N,,accel,,,,72.0,梅崎重治,N,Kirby\,"2005년 10월 도쿄 시나가와구에 설립된 닌텐도 전속 외주 개발사. 전 코나미 직원인 梅崎重治와 恵須川文人이 창립하였으며, 아트·패브릭 스타일의 독특한 비주얼을 강점으로 한다. 총 직원 72명 규모의 중소 개발사이다.",닌텐도와의 긴밀한 협업으로 커비·요시·피치 공주 시리즈 등 닌텐도 1st파티 수준의 작품을 꾸준히 제작한다. 독창적인 아트 스타일과 높은 완성도가 강점이다.,"닌텐도 수주 의존도가 매우 높아 독자 IP가 사실상 없으며, 매출 정보 비공개로 재무 투명성이 낮다.",미공개 (닌텐도 전속 하청 구조),엑셀레이션 파트너 후보 스튜디오. 수탁 개발 실적 있어 협업 기반 있음. PC/Console 플랫폼 개발 역량,short,설립: 2005년
130.0,GRASSHOPPER MANUFACTURE,グラスホッパー･マニファクチュア,일본,개발/운영,비서브,N,,accel,,,,60.0,須田剛一,Y,"No More Heroes, Killer 7, No More Heroes 3","1998년 3월 須田剛一(Suda51)이 설립한 개성 강한 액션 게임 개발사. 2021년 5월 중국 NetEase Games에 인수되어 현재는 NetEase 산하에서 운영된다. 도쿄 소재, 직원 약 60명 규모이다.",Suda51의 독창적인 게임 디자인 철학과 펑크·폭력·유머를 혼합한 스타일로 글로벌 컬트 팬덤을 보유한다. NetEase 지원으로 개발 역량이 확대되었다.,"NetEase 인수 후 독립성 유지 여부가 불투명하며, 중국 모회사 영향으로 지적재산권 및 방향성 리스크가 존재한다.",NetEase Games 100% 자회사 (2021년 인수),엑셀레이션 파트너 후보 스튜디오. PC/Console 플랫폼 개발 역량,short,설립: 1998년
131.0,Granzella Inc.,グランゼーラ,일본,개발/운영,비서브,N,,accel,,,,51.0,名倉剛,Y,"Disaster Report 4+, R-Type Final 2, R-Type Final 3 Evolved",2011년 4월 아이렘 소프트웨어 출신 스태프들이 설립한 이시카와현 가나자와시 소재 개발사. R-TYPE 시리즈와 절체절명도시(Disaster Report) 시리즈로 유명하다. 2023~2025년 급여 체불 및 최저임금법 위반으로 노동기준감독서 조사를 받는 등 경영 위기를 겪었다.,"전통 슈팅 게임 및 재난 시뮬레이션 장르에 특화된 고유 IP를 보유하며, 아이렘 레거시를 계승하는 유일한 스튜디오이다.",2023~2025년 임금 미지급 문제로 서류 송검되었고 경영 안정성이 낮다. 매출이 게임 판매에 크게 의존한다.,미공개 (독립 법인),엑셀레이션 파트너 후보 스튜디오. PC/Console 플랫폼 개발 역량,short,설립: 2011년
132.0,GROUNDING INC.,グランディング,일본,개발/운영,비서브,N,,accel,,,,117.0,岡村峰子,Y,"Crimson Dragon, Machikoro (街コロ), Street Smasher",2007년 9월 세가·마이크로소프트 출신 직원들이 설립한 후쿠오카 소재 게임 개발사. 닌텐도·마이크로소프트 등 대형 퍼블리셔와 협업하며 콘솔 및 모바일 게임을 개발한다. 직원 117명 규모이다.,"다양한 장르(콘솔, 모바일, VR)에 걸친 폭넓은 개발 경험을 보유하며 대형 퍼블리셔와의 파이프라인이 안정적이다.","자체 IP보다 수탁 개발 비중이 높아 수익 안정성이 낮고, 매출 정보가 비공개이다.",미공개 (독립 법인),엑셀레이션 파트너 후보 스튜디오. 수탁 개발 실적 있어 협업 기반 있음. PC/Console 플랫폼 개발 역량,short,설립: 2007년
133.0,"Groove Box Japan Co.,Ltd.",グルーブボックスジャパン,일본,개발/운영,비서브,N,,accel,,0.5,,56.0,島田周樹,Y,"One Piece Unlimited World R, various Bandai Namco licensed games","1988년 설립(구 리파인 텍스타일, 1998년 현재 사명으로 변경)한 홋카이도 삿포로 소재 게임 개발사. 반다이남코 등 대형 퍼블리셔와 협업하며 캐릭터 기반 게임 개발에 강점을 갖는다. 직원 56명, 연매출 약 5억 엔.",원피스·드래곤볼 등 인기 IP를 활용한 게임 수탁 개발 실적이 풍부하며 홋카이도 지역 거점으로 인재 확보 경쟁이 덜하다.,"반다이남코 등 특정 클라이언트 의존도가 높고, 자체 IP가 부재하다.",미공개 (독립 법인),엑셀레이션 파트너 후보 스튜디오. 수탁 개발 실적 있어 협업 기반 있음. PC/Console 플랫폼 개발 역량,short,설립: 1988년
134.0,"GREZZO Co.,Ltd.",グレッゾ,일본,개발/운영,비서브,N,,accel,,,,98.0,石井浩一,Y,"The Legend of Zelda: Ocarina of Time 3D, Link\","2006년 12월 스퀘어에닉스 출신 石井浩一가 설립한 닌텐도 전속 외주 개발사. 젤다의 전설 시리즈 리마스터 및 신작 개발로 높은 평가를 받고 있다. 도쿄 시부야구 소재, 직원 98명.","닌텐도와의 신뢰 관계를 바탕으로 젤다 시리즈 핵심 개발 파트너 위치를 확보하였으며, 오리지널 신작(Echoes of Wisdom)까지 맡을 정도로 신뢰가 높다.","닌텐도 의존도가 극히 높아 독자 IP나 다각화 실적이 없으며, 매출 정보가 비공개이다.",미공개 (닌텐도 전속 하청 구조),엑셀레이션 파트너 후보 스튜디오. 수탁 개발 실적 있어 협업 기반 있음. PC/Console 플랫폼 개발 역량,short,설립: 2006년
135.0,G.rev Ltd.,有限会社 グレフ,일본,개발/운영,비서브,N,,accel,,,,10.0,丸山博幸,Y,"Border Down, Under Defeat, Gradius V (sub-developer)","2000년 7월 타이토 출신 스태프들이 설립한 도쿄 소재 소규모 슈팅 게임 전문 개발사. 아케이드 및 가정용 슈팅 게임에 특화되어 있으며, 자본금 300만 엔의 유한회사이다.","국내외 슈팅 게임 마니아층에게 높은 인지도를 보유하며, 그라디우스V 등 코나미 IP 수탁 실적이 있다.","규모가 매우 작아 자금력과 인력이 제한적이며, 슈팅 장르 자체의 시장 축소로 사업 지속성에 불확실성이 있다.",미공개 (유한회사),엑셀레이션 파트너 후보 스튜디오. 수탁 개발 실적 있어 협업 기반 있음. PC/Console 플랫폼 개발 역량,short,설립: 2000년
136.0,GameLoop Inc.,ゲームループ,일본,개발/운영,비서브,N,,accel,,,,3.0,三浦義広,Y,MELTY BLOOD: TYPE LUMINA (공동 개발),"2017년 2월 아이치현 나고야시에 설립된 초소형 게임 개발사. 직원 3명의 마이크로 스튜디오로, 가정용·스마트폰·파친코 등 다양한 플랫폼의 게임 개발을 수탁한다. MELTY BLOOD: TYPE LUMINA 개발에 프로그래머로 참여하였다.",소규모이지만 격투 게임 분야 등 전문적인 프로그래밍 지원 능력을 보유한다.,"직원 3명의 극소규모 스튜디오로 사업 연속성 리스크가 크고, 자체 IP가 없다.",미공개,엑셀레이션 파트너 후보 스튜디오. 수탁 개발 실적 있어 협업 기반 있음. PC/Console 플랫폼 개발 역량,short,설립: 2017년
137.0,SANDLOT,サンドロット,일본,개발/운영,비서브,N,,accel,,,,25.0,黒田志郎,Y,"Earth Defense Force 2017, Earth Defense Force 4.1, Earth Defense Force 6","2001년 3월 설립된 도쿄 스기나미구 소재 게임 개발사. 지구방위군(Earth Defense Force) 시리즈의 개발사로 유명하며, D3 Publisher와 유키스(Yuke\","지구방위군 시리즈로 글로벌 컬트 팬덤을 보유하며, 독자적인 대규모 배틀 액션 장르에서 독보적인 위치를 차지한다.","사실상 지구방위군 단일 IP에 의존하고 있으며, 소규모 인력으로 대형 시리즈를 유지하는 데 한계가 있다.",미공개 (독립 법인),엑셀레이션 파트너 후보 스튜디오. PC/Console 플랫폼 개발 역량,short,설립: 2001년
138.0,"CITY CONNECTION CO., LTD.",シティコネクション,일본,개발/운영,비서브,N,,accel,,,,31.0,吉川延宏,Y,"Jaleco catalog titles, Strikers 1945 (ZeroDiv), City Connection (classic)","2005년 4월 설립된 도쿄 소재 게임 개발·판매사. 구 잘레코(Jaleco)의 IP를 보유하고 있으며, 사이쿄(彩京) 슈팅 게임 등을 서브 브랜드 ZeroDiv를 통해 재출시하는 것으로 유명하다. 직원 31명이며 더블엘(doubleL)이 51% 주주이다.","레트로 게임 IP의 디지털 재출시에 강점을 가지며, 잘레코·사이쿄 등 복수의 클래식 브랜드를 관리한다.","신규 IP 창출보다 레거시 IP 재활용 중심으로 성장 여력이 제한적이며, 규모가 작다.",株式会社ダブルエル 51% 대주주,엑셀레이션 파트너 후보 스튜디오. PC/Console 플랫폼 개발 역량,short,설립: 2005년
139.0,Shift Inc.,シフト,일본,개발/운영,비서브,N,,accel,,,,,杉山雄一,N,"GOD EATER, GOD EATER 2 Rage Burst, CODE VEIN","1996년 게이오대학 SFC 학생들이 팀으로 발족, 1999년 법인화한 가나가와현 후지사와시 소재 게임 개발사. 소니·반다이남코 등 대형 퍼블리셔와 협업하여 GOD EATER, CODE VEIN 등을 개발하였다. 현재 자본금 300만 엔 규모이다.","헌팅 액션 RPG 장르에 강점을 지니며, GOD EATER 시리즈로 누적 500만 장 이상의 판매 실적을 보유한다.","소니·반다이남코 등 특정 클라이언트 의존도가 높고, 독자적인 퍼블리싱 역량이 약하다.",미공개 (독립 법인),엑셀레이션 파트너 후보 스튜디오. 수탁 개발 실적 있어 협업 기반 있음. PC/Console 플랫폼 개발 역량,short,설립: 1996년
140.0,"genDESIGN Co., Ltd.",ジェン･デザイン,일본,개발/운영,비서브,N,,accel,,,,37.0,上田文人,Y,The Last Guardian (人喰いの大鷲トリコ),2014년 ICO·완다와 거상을 제작한 팀 이코(Team Ico) 출신 멤버들이 설립한 도쿄 고토구 소재 게임 개발사. 인간과 동물의 유대를 주제로 한 감성적인 게임으로 세계적으로 높은 평가를 받는다. Epic Games와 공동 차기작 개발 중이다.,상田文人의 세계적인 명성과 독창적인 아트·게임 디자인 철학으로 글로벌 최고 수준의 크리에이티브 스튜디오로 인정받는다.,"프로젝트 사이클이 매우 길어 수익 창출까지 시간이 걸리며, 소규모 스튜디오로 운영 리스크가 있다.",미공개 (Epic Games와 차기작 공동 펀딩),엑셀레이션 파트너 후보 스튜디오. PC/Console 플랫폼 개발 역량,short,설립: 2014년
141.0,GENIUS SONORITY INC.,ジニアス･ソノリティ,일본,개발/운영,비서브,N,,accel,,,,20.0,山名学,N,"Pokémon Colosseum, Pokémon XD: Gale of Darkness, Denpa Ningen no RPG","2002년 6월 드래곤 퀘스트 시리즈 프로그래머 출신 山名学가 설립한 도쿄 소재 게임 개발사. 포켓몬 컴퍼니 의뢰로 포켓몬 콜로세움 개발을 위해 설립되었으며, 임원으로 닌텐도와 포켓몬 컴퍼니가 주주이다. 직원 20명, 자본금 1억 엔.",포켓몬 컴퍼니·닌텐도와의 긴밀한 주주 관계로 포켓몬 관련 게임 개발에서 안정적인 수주를 기대할 수 있다.,"포켓몬 IP에 사실상 종속되어 있어 사업 다각화가 제한적이며, 소규모 인력으로 대형 프로젝트 수용에 한계가 있다.",任天堂、株式会社ポケモン が株主,엑셀레이션 파트너 후보 스튜디오. 수탁 개발 실적 있어 협업 기반 있음. PC/Console 플랫폼 개발 역량,short,설립: 2002년
142.0,Jupiter Corporation,ジュピター,일본,개발/운영,비서브,N,,accel,,,,52.0,倉満昭博,Y,"Picross S series, The World Ends With You (Switch port), Mario\","1992년 6월 인텔리전트 시스템즈 출신 中山誠이 설립한 교토 후시미구 소재 게임 개발사. 피크로스(Picross) 시리즈와 세계는 내 손으로(TWEWY) 포트를 담당하며 닌텐도·스퀘어에닉스 등과 협업한다. 직원 52명, 자본금 6000만 엔.",피크로스 시리즈를 닌텐도 스위치에서 꾸준히 성공시키며 안정적인 수익 기반을 보유한다. 닌텐도와 장기 협업 관계가 확고하다.,"피크로스 단일 시리즈 의존도가 높으며, 신규 IP 히트작을 내지 못하고 있다.",미공개 (독립 법인),엑셀레이션 파트너 후보 스튜디오. 수탁 개발 실적 있어 협업 기반 있음. PC/Console 플랫폼 개발 역량,short,설립: 1992년
143.0,"SIEG GAMES CO., LTD.",ジークゲームズ,일본,개발/운영,비서브,N,,accel,,,,,宮路洋一,Y,Loop8: Summer of Gods,"2014년 12월 게임아츠(GameArts) 전 CEO인 宮路洋一이 도쿄 다이토구에 설립한 게임 개발사. 루나(Lunar)·그란디아(Grandia) 시리즈 제작자가 이끌며, Loop8: Summer of Gods를 마벨러스와 공동 출시하였다.",宮路洋一의 RPG 장르에서의 풍부한 개발 경험과 글로벌 팬층이 강점이다.,Loop8가 평론가·판매 양면에서 기대 이하의 성과를 거둬 향후 독자 IP 방향성이 불확실하다.,미공개,엑셀레이션 파트너 후보 스튜디오. PC/Console 플랫폼 개발 역량,short,설립: 2014년
144.0,"G-STYLE Co., Ltd.",ジースタイル,일본,개발/운영,비서브,N,,accel,,,,62.0,,N,"모모타로 덴테츠 모션 지원, Street Fighter 모션 지원","2000년 설립된 홋카이도 삿포로시 소재 게임·영화 3DCG 제작사. 삿포로 본사와 아키타 지사를 운영하며, 콘솔·스마트폰·아케이드 게임의 캐릭터·배경·이펙트·모션 제작에 특화되어 있다. 직원 약 62명.",코나미·카프콤·스파이크청소프트 등 대형 퍼블리셔에 2D·3D 그래픽 및 모션 제작 서비스를 제공하며 안정적인 수탁 실적을 보유한다.,"대표자 정보가 공개되지 않으며, 자체 IP가 없는 순수 수탁 개발사로 클라이언트 의존도가 절대적이다.",미공개,엑셀레이션 파트너 후보 스튜디오. 수탁 개발 실적 있어 협업 기반 있음. PC/Console 플랫폼 개발 역량,short,설립: 2000년
145.0,STUDIO SLEDGEHAMMER Inc.,スタジオスレッジハンマー,일본,개발/운영,비서브,N,,accel,,,,10.0,澁谷康宏,Y,"Detective Pikachu Returns (지원), Palworld (지원)","2018년 설립된 소규모 게임 개발사. 닌텐도·크리처스(Creatures Inc.) 등을 클라이언트로 두고 있으며, 명탐정 피카츄 리턴즈 및 팰월드(Palworld) 지원 개발에 참여한 것으로 알려진다. 직원 10명.",포켓몬 관련 프로젝트 참여 경험으로 닌텐도 생태계 내에서의 신뢰도를 갖고 있다.,"직원 10명의 초소형 스튜디오로 대규모 프로젝트 수용 역량이 제한적이며, 자본금 등 재무 정보가 비공개이다.",미공개,엑셀레이션 파트너 후보 스튜디오. 수탁 개발 실적 있어 협업 기반 있음. PC/Console 플랫폼 개발 역량,short,설립: 2018년
146.0,Smile Axe Inc.,スマイルアクス,일본,개발/운영,서브,N,,accel,,,,48.0,宗宮秀之,Y,"Rune Factory 5 (지원), various Marvelous titles","2009년 5월 도쿄 신주쿠구에 설립된 게임 개발사. 마벨러스(Marvelous) 등을 주요 클라이언트로 하며, 루네 팩토리(Rune Factory) 5 지원 개발 등을 담당하였다. 직원 48명, 자본금 1800만 엔.",게임 소프트웨어 개발부터 파친코 LCD 제어·CG 영상 제작까지 폭넓은 서비스를 제공하며 다양한 클라이언트를 보유한다.,"마벨러스 등 특정 클라이언트 의존도가 높고, 독자 IP 개발 실적이 없다.",미공개 (독립 법인),엑셀레이션 파트너 후보 스튜디오. 수탁 개발 실적 있어 협업 기반 있음. All 플랫폼 개발 역량,short,설립: 2009년
147.0,TAMSOFT CORPORATION,タムソフト,일본,개발/운영,서브,N,,accel,,,,119.0,小倉航,Y,"Senran Kagura series, BLEACH: Rebirth of Souls","1992년 6월 도쿄 다이토구 아사쿠사에 설립된 게임 개발사. 섬란 카구라(Senran Kagura) 시리즈와 BLEACH: Rebirth of Souls 개발로 유명하며, 마벨러스·반다이남코를 주요 클라이언트로 한다. 2025년 1월 小倉航이 대표취체역으로 취임하였다.","격투·액션 게임 장르에 강점을 가지며, 반다이남코·마벨러스 등 복수 대형 퍼블리셔와 안정적인 협업 관계를 보유한다.",섬란 카구라 등 틈새 장르 비중이 높아 브랜드 이미지가 특정 고객층에 한정된다.,미공개 (독립 법인),엑셀레이션 파트너 후보 스튜디오. 수탁 개발 실적 있어 협업 기반 있음. PC/Console 플랫폼 개발 역량,short,설립: 1992년
148.0,Techcross Inc.,テクロス,일본,개발/운영,서브,N,,accel,,3.69,,150.0,辻拓也,Y,"Kamihime PROJECT, Ayakashi Rumble!, Rezzle!","2009년 1월 도쿄 치요다구에 설립된 브라우저·PC 게임 개발 및 운영사. 신기 PROJECT(Kamihime PROJECT), 아야카시 럼블!(Ayakashi Rumble!) 등 오리지널 IP를 자체 개발·운영한다. 직원 약 150명, 연매출 약 36.9억 엔(2024년 1월 기준).",오리지널 IP를 다수 보유하며 자체 운영 플랫폼으로 안정적인 수익을 창출한다. \,"브라우저·PC 소셜 게임 시장 자체가 축소 추세이며, 스마트폰·콘솔 시장 전환이 과제이다.",테크로스홀딩스(Techcross Holdings) 자회사,엑셀레이션 파트너 후보 스튜디오. Browser 플랫폼 개발 역량,short,설립: 2009년
149.0,D.H Inc.,ディッジ,일본,개발/운영,비서브,N,,accel,,,,133.0,柳明宏,Y,"FF7 Remake (CG), Mario & Luigi: Brothership (CG), various Nintendo/SE titles","2006년 3월 치바현 마쓰도시에 설립된 CG 제작 전문사. FF7 리메이크, 마리오&루이지 브라더십 등 닌텐도·스퀘어에닉스·반다이남코의 대형 타이틀 CG 제작을 담당하며, 직원 약 133명(2022년)이다.",닌텐도·스퀘어에닉스·반다이남코 등 최상위 퍼블리셔의 CG 제작을 안정적으로 수탁하며 기술력과 신뢰도가 높다.,"순수 CG 외주 제작사로 자체 IP가 없으며, 매출 정보가 비공개이다.",미공개 (독립 법인),엑셀레이션 파트너 후보 스튜디오. 수탁 개발 실적 있어 협업 기반 있음. All 플랫폼 개발 역량,short,설립: 2006년
150.0,DeskWorks Inc.,デスクワークス,일본,개발/운영,비서브,N,,accel,,,,10.0,藤井知晴,Y,RPG Time: The Legend of Wright,"2019년 오사카시에 설립된 초소형 인디 게임 개발사. 대표작 RPG타임! ~라이트의 전설~(RPG Time: The Legend of Wright)이 BAFTA, BitSummit 최우수상 등 다수 수상하며 세계적으로 주목받았다. 직원 10명, 자본금 300만 엔.",손으로 그린 노트 스타일의 독창적인 비주얼과 게임성으로 세계 주요 어워드를 석권하며 인디 씬의 주목을 받는다.,"단일 타이틀만 출시한 극소규모 스튜디오로, 차기작 개발 및 수익 창출 능력이 검증되지 않았다.",미공개 (독립 법인),엑셀레이션 파트너 후보 스튜디오. PC/Console 플랫폼 개발 역량,short,설립: 2019년
